Country,Area Code,Region,Date,1*incubation period before,2*incubation period before
England,E06000001,Hartlepool,18/03/2020,04/03/2020,19/02/2020
England,E06000002,Middlesbrough,20/03/2020,06/03/2020,21/02/2020
England,E06000003,Redcar and Cleveland,14/03/2020,29/02/2020,15/02/2020
England,E06000004,Stockton-on-Tees,11/03/2020,26/02/2020,12/02/2020
England,E06000005,Darlington,14/03/2020,29/02/2020,15/02/2020
England,E06000006,Halton,17/03/2020,03/03/2020,18/02/2020
England,E06000007,Warrington,11/03/2020,26/02/2020,12/02/2020
England,E06000008,Blackburn with Darwen,17/03/2020,03/03/2020,18/02/2020
England,E06000009,Blackpool,12/03/2020,27/02/2020,13/02/2020
England,E06000010,"Kingston upon Hull, City of*",05/03/2020,20/02/2020,06/02/2020
England,E06000011,East Riding of Yorkshire,13/03/2020,28/02/2020,14/02/2020
England,E06000012,North East Lincolnshire,22/03/2020,08/03/2020,23/02/2020
England,E06000013,North Lincolnshire,11/03/2020,26/02/2020,12/02/2020
England,E06000014,York*,05/03/2020,20/02/2020,06/02/2020
England,E06000015,Derby,11/03/2020,26/02/2020,12/02/2020
England,E06000016,Leicester,12/03/2020,27/02/2020,13/02/2020
England,E06000017,Rutland,28/03/2020,14/03/2020,29/02/2020
England,E06000018,Nottingham*,05/03/2020,20/02/2020,06/02/2020
England,E06000019,"Herefordshire, County of",10/03/2020,25/02/2020,11/02/2020
England,E06000020,Telford and Wrekin,22/03/2020,08/03/2020,23/02/2020
England,E06000021,Stoke-on-Trent,18/03/2020,04/03/2020,19/02/2020
England,E06000022,Bath and North East Somerset,14/03/2020,29/02/2020,15/02/2020
England,E06000023,"Bristol, City of",07/03/2020,22/02/2020,08/02/2020
England,E06000024,North Somerset,09/03/2020,24/02/2020,10/02/2020
England,E06000025,South Gloucestershire,11/03/2020,26/02/2020,12/02/2020
England,E06000026,Plymouth,13/03/2020,28/02/2020,14/02/2020
England,E06000027,Torbay*,05/03/2020,20/02/2020,06/02/2020
England,E06000030,Swindon,07/03/2020,22/02/2020,08/02/2020
England,E06000031,Peterborough*,05/03/2020,20/02/2020,06/02/2020
England,E06000032,Luton,07/03/2020,22/02/2020,08/02/2020
England,E06000033,Southend-on-Sea,07/03/2020,22/02/2020,08/02/2020
England,E06000034,Thurrock,15/03/2020,01/03/2020,16/02/2020
England,E06000035,Medway,07/03/2020,22/02/2020,08/02/2020
England,E06000036,Bracknell Forest,07/03/2020,22/02/2020,08/02/2020
England,E06000037,West Berkshire,13/03/2020,28/02/2020,14/02/2020
England,E06000038,Reading,12/03/2020,27/02/2020,13/02/2020
England,E06000039,Slough,10/03/2020,25/02/2020,11/02/2020
England,E06000040,Windsor and Maidenhead,10/03/2020,25/02/2020,11/02/2020
England,E06000041,Wokingham*,05/03/2020,20/02/2020,06/02/2020
England,E06000042,Milton Keynes,07/03/2020,22/02/2020,08/02/2020
England,E06000043,Brighton and Hove,05/03/2020,20/02/2020,06/02/2020
England,E06000044,Portsmouth,14/03/2020,29/02/2020,15/02/2020
England,E06000045,Southampton,15/03/2020,01/03/2020,16/02/2020
England,E06000046,Isle of Wight,07/03/2020,22/02/2020,08/02/2020
England,E06000047,County Durham,10/03/2020,25/02/2020,11/02/2020
England,E06000049,Cheshire East,14/03/2020,29/02/2020,15/02/2020
England,E06000051,Shropshire,10/03/2020,25/02/2020,11/02/2020
England,E06000052,Cornwall*,05/03/2020,20/02/2020,06/02/2020
England,E06000054,Wiltshire*,05/03/2020,20/02/2020,06/02/2020
England,E06000055,Bedford,17/03/2020,03/03/2020,18/02/2020
England,E06000056,Central Bedfordshire,14/03/2020,29/02/2020,15/02/2020
England,E06000057,Northumberland,18/03/2020,04/03/2020,19/02/2020
England,E06000058,"Bournemouth, Christchurch and Poole",08/03/2020,23/02/2020,09/02/2020
England,E06000059,Dorset,13/03/2020,28/02/2020,14/02/2020
England,E08000001,Bolton*,05/03/2020,20/02/2020,06/02/2020
England,E08000002,Bury*,05/03/2020,20/02/2020,06/02/2020
England,E08000003,Manchester*,05/03/2020,20/02/2020,06/02/2020
England,E08000004,Oldham*,05/03/2020,20/02/2020,06/02/2020
England,E08000005,Rochdale,11/03/2020,26/02/2020,12/02/2020
England,E08000006,Salford,15/03/2020,01/03/2020,16/02/2020
England,E08000007,Stockport,13/03/2020,28/02/2020,14/02/2020
England,E08000008,Tameside,08/03/2020,23/02/2020,09/02/2020
England,E08000009,Trafford*,05/03/2020,20/02/2020,06/02/2020
England,E08000010,Wigan*,05/03/2020,20/02/2020,06/02/2020
England,E08000011,Knowsley,17/03/2020,03/03/2020,18/02/2020
England,E08000012,Liverpool,07/03/2020,22/02/2020,08/02/2020
England,E08000013,St. Helens,14/03/2020,29/02/2020,15/02/2020
England,E08000014,Sefton,11/03/2020,26/02/2020,12/02/2020
England,E08000015,Wirral*,05/03/2020,20/02/2020,06/02/2020
England,E08000016,Barnsley*,05/03/2020,20/02/2020,06/02/2020
England,E08000017,Doncaster,14/03/2020,29/02/2020,15/02/2020
England,E08000018,Rotherham,10/03/2020,25/02/2020,11/02/2020
England,E08000019,Sheffield,11/03/2020,26/02/2020,12/02/2020
England,E08000021,Newcastle upon Tyne*,05/03/2020,20/02/2020,06/02/2020
England,E08000022,North Tyneside,07/03/2020,22/02/2020,08/02/2020
England,E08000023,South Tyneside,18/03/2020,04/03/2020,19/02/2020
England,E08000024,Sunderland,09/03/2020,24/02/2020,10/02/2020
England,E08000025,Birmingham*,05/03/2020,20/02/2020,06/02/2020
